Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
Dead To Me,POSTERCHILD,124,,,74,32,1,83,16,0,20,-10,Angry
Nightmare,Halsey,146,"electropop, etherpop, indie poptimism, pop",Pop,61,62,2,0,54,0,30,-5,Angry
Joke's On You,Charlotte Lawrence,190,alt z,Pop,48,65,23,0,47,10,10,-5,Angry
I'm Gonna Show You Crazy,Bebe Rexha,90,"dance pop, pop",Pop,47,54,8,0,34,0,30,-7,Angry
hostage,Billie Eilish,130,"art pop, pop",Pop,43,12,87,0,4,0,0,-15,Angry
Twisted,MISSIO,98,"modern alternative rock, modern rock",Rock,58,79,1,1,15,0,20,-5,Angry
TAG TEAM,"Yung TDS,Dracoo",140,,,46,70,8,0,41,20,20,-8,Angry
Believer,Imagine Dragons,125,"modern rock, pop, rock","Rock, Pop",78,78,6,0,67,10,0,-4,Angry
Miss Jackson (feat. LOLO),"Panic! At The Disco,LOLO",82,"modern rock, pop,","Rock, Pop",64,87,0,0,66,0,10,-6,Angry
COPYCAT,Billie Eilish,125,"art pop, pop",Pop,68,39,35,0,23,0,30,-11,Angry
Cannibal,Naethan Apollo,118,"pixel, pov: indie",Pop,86,34,26,0,68,20,10,-11,Angry
Therefore I Am,Billie Eilish,94,"art pop, pop",Pop,88,37,23,14,66,0,0,-8,Angry
Pacify Her,Melanie Martinez,158,"alt z, electropop, pop",Pop,58,59,5,0,37,0,20,-6,Angry
I See Red,Everybody Loves an Outlaw,157,modern blues rock,Rock,51,45,1,1,22,0,20,-8,Angry
Womanizer,"Meric Again,BRAN,Besomage,HALUNA",128,"covertronica, traprun,",Electronic,61,83,4,0,20,0,20,-7,Angry
Sorry Not Sorry,Demi Lovato,144,"pop, post-teen pop",Pop,71,64,2,0,89,20,20,-7,Angry
Alarm,Anne-Marie,147,pop,Pop,76,59,8,0,81,20,10,-5,Angry
Midnight Sky,Petit Biscuit,91,new french touch,Electronic,74,57,30,23,32,0,10,-10,Angry
Skyfall,Adele,76,"british soul, pop, pop soul, uk pop","R&B, Pop",35,55,42,0,8,0,10,-7,Angry
Dark Horse,"Katy Perry,Juicy J",132,"pop, crunk, memphis hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Pop",65,59,0,0,35,0,10,-6,Angry
Rumour Has It,Adele,120,"british soul, pop, pop soul, uk pop","R&B, Pop",61,75,62,0,57,0,10,-5,Angry
Bulletproof,Nate Smith,80,"contemporary country, modern country pop","Country, Pop",44,73,4,0,52,0,10,-5,Angry
Tears of Gold,Faouzia,150,"alt z, canadian pop",Pop,59,66,13,0,62,0,30,-6,Angry
Survivor,All Good Things,80,rebel blues,Blues,24,90,1,0,73,0,20,-4,Angry
Without Me,Eminem,112,"detroit hip hop, hip hop, rap",Hip Hop,91,67,0,0,66,0,20,-3,Angry
Hurts Like Hell (feat. Offset),"Madison Beer,Offset",75,"pop, atl hip hop, hip hop, pop rap, rap, trap","Hip Hop, Pop",70,56,19,0,61,10,0,-7,Angry
It Ain't Shit,Lil Pete,98,cali rap,Hip Hop,80,68,27,0,50,10,0,-4,Angry
You Don't Own Me (feat. G-Eazy),"SAYGRACE,G-Eazy",186,"r&b, indie pop rap, oakland hip hop, pop rap, rap","Hip Hop, R&B",33,64,16,0,26,0,0,-6,Angry
Let Me Blow Ya Mind,"TYMMA,Eden Golan",125,,,90,74,7,0,72,10,10,-6,Angry
Bounce,"Timbaland,Missy Elliott,Justin Timberlake,Dr. Dre",66,"dance pop, pop, pop rap, hip hop, hip pop, neo soul, r&b, rap, urban contemporary, virginia hip hop, g funk, gangster rap, west coast rap","Pop, Hip Hop, R&B",57,77,32,0,23,20,20,-4,Angry
Ditch,Empara Mi,90,channel islands indie,World/Traditional,56,86,19,0,49,10,90,-5,Angry
Facts only,Young Hot,98,,,64,93,22,0,84,30,10,-4,Angry
Bermuda,"Aesop Rock,Lealani",76,"abstract hip hop, alternative hip hop, conscious hip hop,",Hip Hop,66,73,23,0,57,30,10,-8,Angry
Fly on the Wall,Miley Cyrus,144,pop,Pop,56,96,16,0,70,0,10,-4,Angry
Black Heart,Audrey Hollow,93,,,40,92,0,0,38,0,0,-6,Angry
