Song,Artist,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
traitor,Olivia Rodrigo,101,pop,Pop,38,34,69,0,8,0,10,-8,Angry
"jealousy, jealousy",Olivia Rodrigo,164,pop,Pop,70,57,20,0,70,10,0,-6,Angry
brutal,Olivia Rodrigo,124,pop,Pop,67,53,3,0,28,0,20,-6,Angry
Grenade,Bruno Mars,110,"dance pop, pop",Pop,70,56,15,0,25,0,10,-7,Angry
Complicated,Avril Lavigne,78,"canadian pop, candy pop, dance pop, pop",Pop,59,78,6,0,43,0,30,-6,Angry
Bad Blood,Taylor Swift,170,pop,Pop,65,80,9,0,30,10,10,-6,Angry
Kill Bill,SZA,89,"pop, r&b, rap","Pop, R&B, Hip Hop",64,73,5,17,43,0,10,-6,Angry
Happier Than Ever,Billie Eilish,81,"art pop, pop",Pop,33,23,77,0,30,0,10,-9,Angry
IDGAF,Dua Lipa,97,"dance pop, pop, uk pop",Pop,84,54,4,0,51,0,0,-6,Angry
Don't Start Now,Dua Lipa,124,"dance pop, pop, uk pop",Pop,79,79,1,0,68,0,10,-5,Angry
Irreplaceable,Beyoncé,176,"pop, r&b","Pop, R&B",45,69,3,0,51,30,10,-5,Angry
Boy's a Liar,PinkPantheress,133,bedroom pop,Pop,66,84,25,0,74,0,20,-8,Angry
Flowers,Miley Cyrus,118,pop,Pop,71,69,6,0,63,0,0,-5,Angry
abcdefu,GAYLE,122,modern alternative pop,Pop,70,54,30,0,42,0,30,-6,Angry
Sorry Not Sorry,Demi Lovato,144,"pop, post-teen pop",Pop,71,64,2,0,89,20,20,-7,Angry
Really Don't Care,"Demi Lovato,Cher Lloyd",121,"pop, post-teen pop, dance pop, talent show",Pop,71,73,12,0,85,0,10,-4,Angry
Look What You Made Me Do,Taylor Swift,128,pop,Pop,77,71,20,0,51,10,10,-6,Angry
If I Ain't Got You,Alicia Keys,118,"neo soul, pop, r&b","R&B, Pop",61,44,60,0,17,10,10,-9,Angry
Too Good At Goodbyes,Sam Smith,92,"pop, uk pop",Pop,68,37,64,0,48,0,10,-8,Angry
Love,Keyshia Cole,117,"hip pop, r&b, urban contemporary","Pop, R&B, Hip Hop",69,52,6,0,32,0,10,-4,Angry
Sanctuary,Joji,168,viral pop,Pop,55,64,39,0,33,10,30,-7,Angry
Rolling in the Deep,Adele,105,"british soul, pop, pop soul, uk pop","R&B, Pop",73,77,14,0,51,0,0,-5,Angry
Take A Bow,Rihanna,82,"barbadian pop, pop, urban contemporary","Pop, Hip Hop",70,47,25,0,57,0,0,-8,Angry
Cool Off,Yeng Constantino,168,opm,Pop,48,55,26,0,24,0,10,-8,Angry
Let Me Be The One,Jimmy Bondoc,124,opm,Pop,51,28,83,0,32,0,0,-8,Angry
Migraine,Moonstar88,115,opm,Pop,66,55,20,0,20,0,10,-6,Angry
Kahit Ayaw Mo Na,This Band,128,"opm, p-pop",Pop,66,53,34,0,42,0,10,-9,Angry
All I Ask,Adele,142,"british soul, pop, pop soul, uk pop","R&B, Pop",59,28,89,0,35,0,10,-5,Angry
Secret Love Song (feat. Jason Derulo),"Little Mix,Jason Derulo",93,"girl group, pop, talent show, uk pop, dance pop",Pop,53,61,22,0,14,0,20,-5,Angry
Huwag Na Huwag Mong Sasabihin,Kitchie Nadal,164,opm,Pop,38,69,13,0,36,0,10,-6,Angry
Because of You,Kelly Clarkson,140,"dance pop, pop, talent show",Pop,59,58,25,0,15,0,10,-5,Angry
Lips Are Movin,Meghan Trainor,139,"hip pop, pop",Pop,78,83,5,0,95,0,10,-5,Angry
