#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
4,Save Your Tears,The Weeknd,88,118,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",68,83,2,0,64,0,50,-5 db,Angry
5,Ride,Twenty One Pilots,83,75,"modern rock, pop, pov: indie, rock","Rock, Pop",65,71,1,0,57,0,10,-5 db,Angry
6,Stressed Out,Twenty One Pilots,86,170,"modern rock, pop, pov: indie, rock","Rock, Pop",73,64,5,0,65,10,0,-6 db,Angry
7,Tear in My Heart,Twenty One Pilots,77,120,"modern rock, pop, pov: indie, rock","Rock, Pop",66,63,2,0,45,0,0,-5 db,Angry
8,Pompeii,Bastille,79,127,"metropopolis, modern rock, pop","Electronic, Rock, Pop",68,72,8,0,57,0,20,-6 db,Angry
9,Demons,Imagine Dragons,86,90,"modern rock, pop, rock","Rock, Pop",51,71,19,0,43,0,20,-3 db,Angry
10,Radioactive,Imagine Dragons,82,136,"modern rock, pop, rock","Rock, Pop",45,78,11,0,24,0,60,-4 db,Angry
11,Animal,Neon Trees,66,148,"modern rock, neo mellow, pop rock, pov: indie","Rock, Folk/Acoustic, Pop",48,83,0,0,74,0,30,-6 db,Angry
12,Bad Things (with Camila Cabello),"mgk,Camila Cabello",72,138,"ohio hip hop, pop rap, dance pop, pop","Pop, Hip Hop",70,69,21,0,31,10,10,-5 db,Angry
13,Love Runs Out,OneRepublic,65,120,"piano rock, pop","Rock, Pop",72,93,17,0,74,0,0,-4 db,Angry
14,Everybody Wants To Rule The World,Tears For Fears,88,112,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop","Rock, Pop",65,80,35,0,54,0,10,-12 db,Angry
15,Only Angel,Harry Styles,66,114,pop,Pop,55,84,29,0,35,0,10,-4 db,Angry
16,Kiwi,Harry Styles,73,147,pop,Pop,38,93,0,0,49,0,30,-3 db,Angry
17,Arabella,Arctic Monkeys,78,180,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,58,56,2,0,51,0,20,-7 db,Angry
18,Ain't It Fun,Paramore,74,104,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock","Pop, Rock",61,89,15,0,67,0,0,-4 db,Angry
19,Still into You,Paramore,81,136,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock","Pop, Rock",60,92,1,0,77,0,0,-4 db,Angry
20,Partition,Beyoncé,73,176,"pop, r&b","Pop, R&B",42,44,3,7,17,20,30,-12 db,Angry
21,Formation,Beyoncé,73,122,"pop, r&b","Pop, R&B",90,62,1,0,82,20,20,-7 db,Angry
22,bloody valentine,mgk,70,160,"ohio hip hop, pop rap",Hip Hop,53,86,0,0,51,0,10,-4 db,Angry
23,Bitch Better Have My Money,Rihanna,77,103,"barbadian pop, pop, urban contemporary","Pop, Hip Hop",78,73,5,0,40,0,20,-5 db,Angry
24,Sk8er Boi,Avril Lavigne,78,150,"canadian pop, candy pop, dance pop, pop",Pop,49,90,0,0,48,0,30,-4 db,Angry
25,I Kissed A Girl,Katy Perry,72,130,pop,Pop,70,76,0,0,70,0,10,-3 db,Angry
26,Youngblood,5 Seconds of Summer,83,120,"boy band, pop",Pop,60,85,2,0,15,40,10,-5 db,Angry
27,Kill Bill,SZA,83,89,"pop, r&b, rap","Pop, R&B, Hip Hop",64,73,5,17,43,0,10,-6 db,Angry
28,Teenage Dirtbag,Wheatus,78,95,pop rock,Rock,63,85,35,0,63,0,10,-4 db,Angry
29,Colors,Halsey,68,100,"electropop, etherpop, indie poptimism, pop",Pop,51,81,5,0,52,0,0,-5 db,Angry
30,Without Me,Halsey,82,136,"electropop, etherpop, indie poptimism, pop",Pop,75,49,30,0,53,0,0,-7 db,Angry
31,Tomboy,Destiny Rogers,69,78,,,64,65,42,1,46,0,10,-5 db,Angry
32,Jealous,Nick Jonas,69,93,"dance pop, pop",Pop,70,70,1,0,38,10,40,-4 db,Angry
33,How You Like That,BLACKPINK,77,130,"k-pop, k-pop girl group, pop",Pop,81,79,5,0,33,0,0,-4 db,Angry
34,Typa Girl,BLACKPINK,72,132,"k-pop, k-pop girl group, pop",Pop,92,59,6,0,52,0,60,-8 db,Angry
35,Lovesick Girls,BLACKPINK,71,128,"k-pop, k-pop girl group, pop",Pop,66,73,1,0,41,0,10,-5 db,Angry
