#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
52,Always Remember Us This Way,Lady Gaga,84,130,"art pop, dance pop, pop",Pop,55,50,30,0,30,0,70,-6,Sad
53,What You Won't Do for Love,Bobby Caldwell,79,84,yacht rock,Rock,64,40,46,0,80,0,10,-17,Sad
54,End of Beginning,Djo,96,160,"pov: indie, psychedelic pop",Pop,69,45,4,0,91,0,0,-8,Sad
55,Unwritten,Natasha Bedingfield,93,100,"dance pop, pop, post-teen pop",Pop,71,80,1,0,63,0,0,-6,Sad
56,Put Your Records On,Corinne Bailey Rae,81,96,"british soul, neo soul, pop soul, soul",R&B,74,51,17,0,54,0,10,-8,Sad
57,Made For Me,Muni Long,87,120,"indie r&b, pop r&b",R&B,79,47,14,0,6,0,10,-6,Sad
58,There She Goes,The La's,76,123,britpop,Pop,53,76,1,83,92,0,20,-11,Sad
59,Tingin,"Cup of Joe,Janine",80,105,"opm, pinoy city pop, pinoy singer-songwriter",Pop,62,77,21,0,47,0,10,-6,Angry
60,Saan?,Maki,75,120,,,60,79,19,0,70,0,10,-4,Angry
61,Kisame,rhodessa,76,100,,,58,31,95,6,20,0,20,-10,Angry
62,Umaasa,Calein,76,96,pinoy city pop,Pop,63,43,30,39,35,0,30,-10,Angry
63,Beer,The Itchyworms,68,85,opm,Pop,54,69,51,0,46,0,10,-4,Angry
64,Ang Huling El Bimbo,Eraserheads,66,89,"opm, pinoy reggae",Pop,52,50,18,0,44,0,20,-12,Angry
65,Pwede Ba,Lola Amour,63,79,opm,Pop,67,33,61,0,25,0,10,-8,Angry
66,Yakap,Zack Tabudlo,59,114,"acoustic opm, opm, p-pop",Pop,74,39,41,0,55,0,10,-8,Angry
67,711,TONEEJAY,79,180,,,38,72,14,0,34,0,10,-5,Angry
68,Palagi,TJ Monterde,75,108,"cdo indie, opm, pinoy singer-songwriter",Pop,48,17,88,0,35,0,10,-14,Angry
69,Walang Kapalit (AM VER.),Arthur Miguel,66,120,opm,Pop,62,21,87,0,29,0,10,-11,Angry
70,Heaven Knows - This Angel Has Flown,Orange & Lemons,78,93,opm,Pop,58,51,27,0,46,0,10,-8,Angry
71,Gusto feat. Al James,"Zack Tabudlo,Al James",73,84,"acoustic opm, opm, p-pop, pinoy alternative rap, pinoy hip hop, pinoy r&b, pinoy trap","Pop, Hip Hop, R&B",61,70,4,0,20,0,0,-5,Angry
72,Yakap sa Dilim,Orange & Lemons,70,114,opm,Pop,65,72,10,0,59,0,10,-3,Angry
73,Araw-Araw,Ben&Ben,71,141,opm,Pop,48,42,58,0,22,0,20,-8,Angry
74,Paraluman,Adie,67,90,opm,Pop,51,25,77,0,11,0,10,-14,Angry
75,Uhaw (Tayong Lahat),Dilaw,74,136,opm,Pop,64,72,28,0,32,0,10,-7,Angry
76,Sa Susunod na Habang Buhay,Ben&Ben,78,177,opm,Pop,31,34,43,0,27,0,10,-9,Angry
77,Ikaw Pa Rin Ang Pipiliin Ko,Cup of Joe,70,174,"opm, pinoy city pop",Pop,47,56,12,0,35,0,10,-7,Angry
78,Maging Sino Ka Man,REY VALERA,43,142,"classic opm, manila sound, opm","World/Traditional, Pop",40,48,8,0,16,0,20,-10,Angry
79,LUV DRUG,"gins&melodies,Eros Tongco",74,110,"pinoy hip hop, tagalog rap,",Hip Hop,69,52,50,0,10,0,20,-11,Angry
80,Stay - On the Wings of Love Teleserye Theme,Daryl Ong,59,92,opm,Pop,56,28,84,0,31,0,10,-9,Angry
81,TAKE ALL THE LOVE,Arthur Nery,80,82,"cdo indie, opm, p-pop",Pop,49,49,28,0,26,0,10,-7,Angry
