#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
5,"jealousy, jealousy",Olivia Rodrigo,84,164,pop,Pop,70,57,20,0,70,10,0,-6 db,Angry
6,brutal,Olivia Rodrigo,80,124,pop,Pop,67,53,3,0,28,0,20,-6 db,Angry
7,Grenade,Bruno Mars,78,110,"dance pop, pop",Pop,70,56,15,0,25,0,10,-7 db,Angry
8,Complicated,Avril Lavigne,81,78,"canadian pop, candy pop, dance pop, pop",Pop,59,78,6,0,43,0,30,-6 db,Angry
9,Bad Blood,Taylor Swift,75,170,pop,Pop,65,80,9,0,30,10,10,-6 db,Angry
10,Kill Bill,SZA,83,89,"pop, r&b, rap","Pop, R&B, Hip Hop",64,73,5,17,43,0,10,-6 db,Angry
11,Happier Than Ever,Billie Eilish,85,81,"art pop, pop",Pop,33,23,77,0,30,0,10,-9 db,Angry
12,IDGAF,Dua Lipa,80,97,"dance pop, pop, uk pop",Pop,84,54,4,0,51,0,0,-6 db,Angry
13,Don't Start Now,Dua Lipa,82,124,"dance pop, pop, uk pop",Pop,79,79,1,0,68,0,10,-5 db,Angry
14,Irreplaceable,Beyoncé,72,176,"pop, r&b","Pop, R&B",45,69,3,0,51,30,10,-5 db,Angry
15,Boy's a Liar,PinkPantheress,70,133,bedroom pop,Pop,66,84,25,0,74,0,20,-8 db,Angry
16,Flowers,Miley Cyrus,93,118,pop,Pop,71,69,6,0,63,0,0,-5 db,Angry
17,abcdefu,GAYLE,78,122,modern alternative pop,Pop,70,54,30,0,42,0,30,-6 db,Angry
18,Sorry Not Sorry,Demi Lovato,75,144,"pop, post-teen pop",Pop,71,64,2,0,89,20,20,-7 db,Angry
19,Really Don't Care,"Demi Lovato,Cher Lloyd",72,121,"pop, post-teen pop, dance pop, talent show",Pop,71,73,12,0,85,0,10,-4 db,Angry
20,Look What You Made Me Do,Taylor Swift,85,128,pop,Pop,77,71,20,0,51,10,10,-6 db,Angry
21,If I Ain't Got You,Alicia Keys,84,118,"neo soul, pop, r&b","R&B, Pop",61,44,60,0,17,10,10,-9 db,Angry
22,Too Good At Goodbyes,Sam Smith,85,92,"pop, uk pop",Pop,68,37,64,0,48,0,10,-8 db,Angry
23,Love,Keyshia Cole,85,117,"hip pop, r&b, urban contemporary","Pop, R&B, Hip Hop",69,52,6,0,32,0,10,-4 db,Angry
24,Sanctuary,Joji,76,168,viral pop,Pop,55,64,39,0,33,10,30,-7 db,Angry
25,Rolling in the Deep,Adele,82,105,"british soul, pop, pop soul, uk pop","R&B, Pop",73,77,14,0,51,0,0,-5 db,Angry
26,Take A Bow,Rihanna,76,82,"barbadian pop, pop, urban contemporary","Pop, Hip Hop",70,47,25,0,57,0,0,-8 db,Angry
27,Cool Off,Yeng Constantino,55,168,opm,Pop,48,55,26,0,24,0,10,-8 db,Angry
28,Let Me Be The One,Jimmy Bondoc,61,124,opm,Pop,51,28,83,0,32,0,0,-8 db,Angry
29,Migraine,Moonstar88,65,115,opm,Pop,66,55,20,0,20,0,10,-6 db,Angry
30,Kahit Ayaw Mo Na,This Band,48,128,"opm, p-pop",Pop,66,53,34,0,42,0,10,-9 db,Angry
31,All I Ask,Adele,74,142,"british soul, pop, pop soul, uk pop","R&B, Pop",59,28,89,0,35,0,10,-5 db,Angry
32,Secret Love Song (feat. Jason Derulo),"Little Mix,Jason Derulo",76,93,"girl group, pop, talent show, uk pop, dance pop",Pop,53,61,22,0,14,0,20,-5 db,Angry
33,Huwag Na Huwag Mong Sasabihin,Kitchie Nadal,72,164,opm,Pop,38,69,13,0,36,0,10,-6 db,Angry
34,Because of You,Kelly Clarkson,73,140,"dance pop, pop, talent show",Pop,59,58,25,0,15,0,10,-5 db,Angry
35,Lips Are Movin,Meghan Trainor,71,139,"hip pop, pop",Pop,78,83,5,0,95,0,10,-5 db,Angry
